Covidence #,Study ID,Title,Reviewer Name,Type of study,Species,Region,Metric used or described,Citation for metric if not introduced in this current paper,Interpretation,Data input required,"Definitions of ""leader"", ""initiator"", etc",Dominance metric,Interpretation,Citation for dominance metric if not introduced in this paper,Analysis code availability,Programming language,Analysis code link,Analysis code availability location,Software package(s) used,Other comments about code availability,Discussion,Etc
2606,Larsch 2018,Biological Motion as an Innate Perceptual Mechanism Driving Social Affiliation,Consensus,Empirical,Danio rerio,NA,interindividual distance; attraction,attraction: this paper,attraction is interindividual distance shuffled - observed / shuffled,XYT,NA,NA,NA,NA,Yes,Python; Bonsai; NetLogo,https://bitbucket.org/mpinbaierlab/larschandbaier2018,Bitbucket,NA,NA,NA,also agent based model
2489,Kotrschal 2018,Brain size does not impact shoaling dynamics in unfamiliar groups of guppies (Poecilia reticulata),Consensus,Empirical,Poecilia reticulata,NA,median speed within group; alignment;  median global radius;  mean nearest neighbour distance,NA,NA,XYT,NA,NA,NA,NA,No,MATLAB,NA,NA,NA,NA,NA,NA
2306,Hollingdale 2018,Inferring symmetric and asymmetric interactions between animals and groups from positional data,Consensus,Empirical,Cervus elaphus scoticus; Ovis aries,North East Scotland,mean kth nearest neighbour distance; mean distance to center of mass; distance to center of mass; voronoi tessellation area; orientation; attraction; repulsion zones; cross correlation; Granger causality;,created testing data of simulated spatial positions using modified version of self driven particles from: Vicsek et al 1995 Phys Rev Let and Couzin et al 2002 J Theor Biol (zones); Granger causality: Granger 1969 Econometrica,"convex hull is the smallest convex set that contains all points, area calculated here every 1, 3 or 5 hours; mean NN distance where closer the distance, higher the likelihood of an interaction and distance required for visual range interactions; centre of mass is mean position of all individuals; voronoi area can be used as a measure of isolation and turned into a network of colocation; Granger causality indicates that one time series can predict the other; ",XYT,NA,NA,NA,NA,No,R,NA,NA,forecast (cross correlation),"data  https://doi.org/10.26182/
5bf4fba095b1f","Granger causality; 
The core principle of the Vicsek model is that particles (representing animals) move with a constant velocity and align the direction of their motion with the direction of the particles around them. The Couzin model extends this by creating three different zones of: repulsion; orientation; and attraction",convex hull area
2263,Heras 2019,Deep attention networks reveal the rules of collective motion in zebrafish,Consensus,Model,Danio rerio,NA,deep interaction neural network model,this paper,NA,XYT,NA,NA,NA,NA,Yes,Python; Keras; TensorFlow,https://gitlab.com/polavieja_lab/fishandra,GitLab,NA,NA,NA,deep interaction network
2178,Hansen 2016,Environmental quality determines finder-joiner dynamics in socially foraging three-spined sticklebacks (Gasterosteus aculeatus),Consensus,Empirical,Gasterosteus aculeatus,"Wales, UK",distance between individuals; patch occupancy,NA,NA,XYT,finding where fish entered unoccupied patch whereas entering an occupied path was considered joining,NA,NA,NA,No,NA,NA,NA,NA,NA,"finder's share, finder's advantage",NA
2138,Frost 2012,Spatial distribution and habitat utilization of the Zebra-tailed lizard (Callisaurus draconoides),Consensus,Empirical,Callisaurus draconoides,"Tucson, Arizona",interindividual distance; nearest neighbour distance,NA,NA,NA,NA,NA,NA,NA,No,SYSTAT,NA,NA,NA,NA,NA,NA
2017,Escobedo 2020,A data-driven method for reconstructing and modelling social interactions in moving animal groups: Reconstructing social interactions,Consensus,Empirical,Hemigrammus rhodostomus; Danio rerio,NA,distance and direction between individuals; force map; mathematical model to extract social interactions from behavioural data,this paper: mathematical model to extract social interactions from behavioural data,NA,XYT,NA,NA,NA,NA,Yes,Fortran, https://doi.org/10.6084/m9.figshare.11777325,FigShare,NA,NA,limitations of force maps,NA
2016,Eckhardt 2015,"Spatial cohesion of adult male chimpanzees (Pan troglodytes verus) in Taï National Park, Côte d'Ivoire",Consensus,Empirical,Pan troglodytes verus,"Taï National Park, Côte D’Ivoire",interindividual distances,NA,NA,XYT,NA,NA,NA,NA,No,R,NA,NA,NA,NA,NA,NA
1999,Flack 2013,Pairs of pigeons act as behavioural units during route learning and co-navigational leadership conflicts,Consensus,Empirical,Columba livia,"Wytham, England",mean nearest neighbour distance; leading/following behaviour,leading/following behaviour: Flack 2012,NA,NA,NA,NA,NA,NA,No,MATLAB,NA,NA,NA,NA,NA,NA
1590,Broekhuis 2019,"Using GPS collars to investigate the frequency and behavioural outcomes of intraspecific interactions among carnivores: A case study of male cheetahs in the Maasai Mara, Kenya",Consensus,Empirical,Acinonyx jubatus,"Maasai Mara, Kenya",distance between individuals; path tortuosity before encounter where NSD divided by total distance; proximity,Long 2014 (wildlifeDI citation),NA,XYT,NA,NA,NA,NA,No,R,NA,NA,adehabitat; wildlifeDI; moveVis,NA,NA,static interaction: home range overlap;
1498,Baden 2016,Resource seasonality and reproduction predict fission-fusion dynamics in black-and-white ruffed lemurs (Varecia variegata),Consensus,Empirical,Varecia variegata,Madagascar,cohesion = greatest pairwise distance within a group; fission = gte 1 individual absent in 2 consecutive scans; fusion = gte 1 individual now present in 2 consecutive scans,NA,NA,XYT,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA
1444,Andrienko 2013,Space transformation for understanding group movement,Consensus,Algorithm; Empirical,Papio spp,"De Hoop Nature Reserve, South Africa",space transformation; position within group; trend setting,this paper,space transformation from geographical space too relative positions with respect to group center and movement direction; trend setting where close to group center but direction differs from group by at least 45 degrees; ,XYT,leader is an object that moves in front of others; trend setter is an object whose movements are copied by others,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA
1405,Aguilar-Melo 2018,Fission-fusion dynamics as a temporally and spatially flexible behavioral strategy in spider monkeys,Consensus,Empirical,Ateles geoffroyi,Mexico,IID,NA,"IID used to define groups (lte 30 m, chain rule)",XYT,fission when gte 1 were not observed with a group for 2 consecutive scans; fusion when gte 1 who were previously not observed with group are observed with group for 2 consecutive scans,NA,NA,NA,No,NA,NA,NA,NA,NA,"more cohesive subgroups when rainfall increased, more unstable when there is high temporal variability in food resources",NA
1088,Hansen 2015,The influence of nutritional state on individual and group movement behaviour in shoals of crimson-spotted rainbowfish (<i>Melanotaenia duboulayi</i>),Consensus,Empirical,Melanotaenia duboulayi,NA,interindividual distance; mean nearest neighbour distance,NA,NA,XYT,fish considered isolated if not within three body lengths of any other fish; group defined by within three body lengths,NA,NA,NA,No,R,NA,NA,NA,NA,NA,NA
1085,Hrolenok 2014,Inferring Social Structure of Animal Groups From Tracking Data,Consensus,Model,NA,NA,fleeing events; approaching behaviour; withdrawal behaviour,this paper,NA,XYT; posture,NA,dominance measure,if individual A flees from individual B more frequently than the opposite,this paper,No,NA,NA,NA,NA,NA,NA,authors use agent based model
1053,Kleinhappel 2019,Stress-induced changes in group behaviour,Consensus,Empirical,Danio rerio,"Lincoln, England",interindividual distances; mean interindividual distances; nearest neighbor distance; group convex hull area; mean distance to group center; ,NA,NA,XYT,NA,NA,NA,NA,No,R; MATLAB,NA,NA,NA,script for models only included: https://static-content.springer.com/esm/art%3A10.1038%2Fs41598-019-53661-w/MediaObjects/41598_2019_53661_MOESM2_ESM.pdf,NA,NA
974,Barocas 2016,Coastal latrine sites as social information hubs and drivers of river otter fissione-fusion dynamics,Consensus,Empirical,Lontra canadensis,"60.10 N, 148 W, southcentral Alaska, USA",group size,NA,NA,XYT,fission and fusion defined as joining and leaving group in subsequent observations,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,proximity tag
901,Miller 2011,Redefining membership in animal groups,Consensus,Empirical,Danio rerio,NA,nearest neighbour distance,NA,NA,XYT,NA,NA,NA,NA,No,Mathematica; SPSS,NA,NA,NA,NA,NA,NA
826,Gygax 2010,Socio-Spatial Relationships in Dairy Cows,Consensus,Empirical,Bos taurus,NA,synchronicity; interindividual distance,NA,synchronicity is the number of observations of the dyad in the same functional area divided by total times either was in that same area and data was available for both; ,XYT,NA,NA,NA,NA,No,R,NA,NA,NA,NA,NA,NA
801,Ward 2021,Nonchalant neighbors: Space use and overlap of the critically endangered Elongated Tortoise,Consensus,Empirical,Indotestudo elongata,"Sakaerat Biosphere Reserve, Thailand",DI,Long and Nelson 2013,NA,XYT,NA,NA,NA,NA,Yes,R,https://osf.io/6vfp9,OSF; Dryad,move; ctmm; moveUD; wildlifeDI,NA,NA,brms
798,Haydon 2008,Socially informed random walks: incorporating group dynamics into models of population spread and growth,Consensus,Empirical,Cervus canadensis,"Elk Island National Park, Alberta, Canada",interindividual distances,NA,NA,XYT,fusion where solitary to grouped and fission where grouped to solitary,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,behavioural states; HFI herd fragmentation index where 0 indicates one group for entire herd
749,Amornbunchornvej 2018,Coordination Event Detection and Initiator Identification in Time Series Data,Consensus,Model,NA,NA,FLICA,this paper,following network and coordination identification,XYT,following relation is where two individuals perform the same sequence of actions with some fixed delay; initiator is individual who first performs a sequence of actions and all other individuals follow,leadership from movement initiations,NA,this paper,Yes,MATLAB,https://github.com/CompBioUIC/FLICA,GitHub,NA,NA,coordination initiator inference problem,NA
748,Kölzsch 2020,Goose parents lead migration V,Consensus,Empirical,Anser anser albifrons,Netherlands,position front-back in group; ,NA,NA,XYT,NA,NA,NA,NA,No,R,NA,NA,NA,data doi:10.5441/001/1.ms87s2m6,NA,NA
676,Böhm 2008,Dynamic interactions among badgers:: implications for sociality and disease transmission,Consensus,Empirical,Meles meles,"North York Moors National Park, northeast England",interindividual distance within a distance threshold,Doncaster 1990,NA,NA,NA,NA,NA,NA,No,Brodgar,NA,NA,NA,NA,NA,NA
672,WHITE 1994,"ENCOUNTERS BETWEEN RED FOXES (VULPES-VULPES) - IMPLICATIONS FOR TERRITORY MAINTENANCE, SOCIAL COHESION AND DISPERSAL",Consensus,Empirical,Vulpes vulpes,"Bristol, UK",IID; distance; bearing,NA,NA,XYT,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA
655,Josephs 2016,Working the crowd: sociable vervets benefit by reducing exposure to risk,Consensus,Empirical,Chlorocebus pygerythrus,South Africa,voronoi tesselations; group direction; position within group along axis of movement,NA,voronoi tesselations as a measure of exposure to risk,XYT,NA,ad libitum observations,NA,NA,No,Ucinet; Stata; ArcGIS,NA,NA,NA,NA,NA,NA
652,Langrock 2014,Modelling group dynamic animal movement,Consensus,Empirial; Simulation,Rangifer tarandus,Not stated,hidden Markov model where states are related to distance to group center or some focal individual,this paper,NA,XYT,NA,NA,NA,NA,Yes,R,https://besjournals.onlinelibrary.wiley.com/action/downloadSupplement?doi=10.1111%2F2041-210X.12155&file=mee312155-sup-0002_AppendixS2.pdf,Supplemental materials,CircStats; boot; MASS,NA,"our approach is to capture group fission-fusion dynamics where individuals are periodically attracted to an abstract point, which we call the group centroid. This centroid could be the centre of mass of the group (a proxy for social networks, as described by Croft et al., 2010) or a dominant “informed” alpha animal that leads the group (as described by Nagy et al., 2012).",NA
629,Benhamou 2014,Movement-based analysis of interactions in African lions,Consensus,Empirical,Panthera leo,"Hwange National Park, Zimbabwe",movement interaction where synchronized locations (within 2 min) ,introduced in this paper,"tendency to move independently, jointly or avoid each other",XYT,NA,NA,NA,NA,No,Pascal,NA,NA,NA,NA,"Macdonald et all 1980 and Doncaster 1990 did not take serial correlation into account, and this issue remains unresolved by Shirabe 2006 and Long and Nelson 2013. These metrics also do not consider proximity of individuals making them movement coordination rather than interaction. The authors note their metric addresses movement interaction more directly but lacks a combination of direction and distance of movements. The study of animal interaction in space could benefit from a stronger methodological framework",home range overlap with Bhattacharyya's coefficient (Bhattacharyya 1943)
601,Kano 2021,Collective attention in navigating homing pigeons: group size effect and individual differences,Consensus,Empirical,Columba livia,"Wytham, UK",directional correlation delay; distance from group center; mean interindividual distance; position along front-back axis; ,"Flack 2013, Nagy 2010, Pettit 2013",NA,XYT; accelerometer,leader from directional correlation delay,leadership rank as mean directional correlation delay,NA,Nagy 2010,No,NA,NA,NA,NA,NA,NA,NA
592,Krause 2000,Leadership in fish shoals,Consensus,Review,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,costs and benefits of leading; mechanism of leadership behaviour; ,NA
570,Buderman 2021,Caution is warranted when using animal space-use and movement to infer behavioral states,Consensus,Empirical,Odocoileus viginianus,"Pennsylvania, USA",Prox; DI,Long and Nelson 2014,distance between individuals during simultaneous locations; similarity of movement trajectories in relation to speed and direction,XYT,NA,NA,NA,NA,No,R,NA,NA,wildlifeDI; BBMM; momentuHMM,data https://datadryad.org/stash/dataset/doi:10.5061/dryad.mgqnk98zz,NA,"home range overlap, hidden Markov models"
568,Heesen 2015,Ecological and Social Determinants of Group Cohesiveness and Within-Group Spatial Position in Wild Assamese Macaques,Consensus,Empirical,Macaca assamensis,"Phu Khieo Wildlife Sanctuary, Thailand",interindividual distances; mean nearest neighbour distance; distance from group center,NA,NA,XYT,NA,ad hoc observations,NA,NA,No,R,NA,NA,NA,NA,NA,NA
512,Meckbach 2021,An Information-Theoretic Approach to Detect the Associations of GPS-Tracked Heifers in Pasture,Consensus,Empirical,heifer cow," Lower Saxony, Germany",interindividual distance; pointwise mutual information,PMI: Meckback et al 2015 BMC Bioinform; ,"PMI measures the probability of coincident occurrence of two variables (i.e., animals) with respect to the probability of independent occurrence",XYT,NA,NA,NA,NA,No,R,NA,NA,geosphere,NA,NA,NA
511,Sugiura 2011,Variation in Spatial Cohesiveness in a Group of Japanese Macaques (Macaca fuscata),Consensus,Empirical,Macaca fuscata,"Kinkazan Island, Japan",IID; ,NA,NA,XYT,NA,ad libitum agonistic interactions,NA,NA,No,NA,NA,NA,NA,NA,NA,NA
507,Kaczensky 2021,Post-release Movement Behaviour and Survival of Kulan Reintroduced to the Steppes and Deserts of Central Kazakhstan,Consensus,Empirical,Equus hemionus kulan,"Kostanay, Kazakhstan",drift and diffusive movement correlation; interindividual distance,Calabrese et al 2018,NA,XYT,NA,NA,"",NA,No,R,NA,NA,corrMove; moveVis; ctmm,NA,NA,range overlap with ctmm
506,Fortin 2009,Group-size-mediated habitat selection and group fusion-fission dynamics of bison under predation risk,Consensus,Empirical,Bison bison,"Prince Albert National Park, Canada",interindividual distance,NA,NA,XYT,group/fusion when within 100 m; fission when two or more consecutive locations separated by > 100 m,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA
499,Pérez-Barbería 2015,State-Space Modelling of the Drivers of Movement Behaviour in Sympatric Species,Consensus,Empirical,Ovis aries; Cervus elaphus;,"Auchenblae, Scotland",interindividual distance; ,NA,NA,XYT,NA,NA,NA,NA,No,R,NA,NA,NA,NA,NA,NA
476,Pettit 2013,Interaction rules underlying group decisions in homing pigeons,Consensus,Empirical; Simulation,Columba livia,"Wytham, Oxford",directional correlation delay; distance and direction to neighbour; speed; ,Nagy et al 2010; Herbert-Read et al 2011,NA,XYT,leadership based on directional correlation delay; leadership also based on tendency to use route taken on solo flight,NA,NA,NA,No,Matlab,https://royalsocietypublishing.org/action/downloadSupplement?doi=10.1098%2Frsif.2013.0529&file=rsif20130529supp2.m,Supplemental materials,NA,Note supplement only points to simulation code,NA,NA
455,Xu 2020,Analysis of Cattle Social Transitional Behaviour: Attraction and Repulsion,Consensus,Empirical,Angus cow,"Armidale, NSW, Australia",distance ranking; IID,NA,NA,XYT,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA
445,Biro 2006,From compromise to leadership in pigeon homing,Consensus,Empirical,Columba livia domestica,England,nearest neighbour distance,NA,NA,XYT,NA,proportion of paired flights led,"in paired flights, winner is the bird that remained closer to their established route",NA,No,MATLAB,NA,NA,NA,NA,NA,"track length, track tortuosity, models of two hypothesized forces: attraction to established route and partner"
436,Averly 2022,Disentangling influence over group speed and direction reveals multiple patterns of influence in moving meerkat groups,Consensus,Empirical,Suricata suricatta,South Africa,turn influence; speed influence; time in front of group along front-back position of group,NA,influence of individual on group's movement calculated where spatial distance at least some minimum divided by time taken to get there instead of temporal thresholds; propensity to be at the front of the group,XYT,NA,NA,NA,NA,Yes,R,https://doi.org/10.5281/zenodo.6913199; https://github.com/BaptisteAverly/Meerkat_TurnSpeed_Influence,Zenodo; GitHub,NA,NA,NA,NA
427,Long 2015,"Quantifying spatial-temporal interactions from wildlife tracking data: Issues of space, time, and statistical significance",Consensus,Simulation,NA,NA,Prox; Don; Lixn; Cs; DI; Iab,Bertrand et all 1996; Doncaster 1990; Minta 1992; Kenward et al 1993; Long and Nelson 2013; Benhamou et al 2014,NA,XYT,NA,NA,NA,NA,No,R,NA,NA,wildlifeDI,NA," variation in the performance of different measures of spatial-temporal interaction was observed; issues of space, time and statistical significance; ",NA
418,Bista 2022,"Space use, interaction and recursion in a solitary specialized herbivore: a red panda case study",Consensus,Empirical,Ailurus fulgens,"Ilam district, eastern Nepal, 27.102° N, 87.982° E",Prox; DI in direction; DI in displacement; overall DI,Long et al 2014,Prox measures proportion of simultaneous fixes within a distance threshold that approach each other; DI is an indicator of attraction and avoidance ,XYT,"temporal threshold 2 hour, distance threshold 100 m",NA,NA,NA,No,R,NA,NA,wildlifeDI,NA,NA,"home-range overlap based on the Bhattacharya coefficient (BC) 
(Bhattacharyya 1943)"
417,Aureli 2012,What is a subgroup? How socioecological factors influence interindividual distance,Consensus,Empirical,Ateles geoffroyi,Costa Rica,IID,NA,NA,XYT,NA,NA,NA,NA,No,Hawth Tools for ArcGIS,NA,NA,NA,NA,NA,NA
411,Dahl 2020,An information-theory approach to geometry for animal groups,Consensus,Empirical,Canis lupus familiaris,"25510 Pierrefontaine-les-Varans, Franc",mutual information between locations of dog i based and combinations of dogs j to w ,this paper and information theory Shannon 1948,extent which one individual's movements can be explained by other individuals' movements,XYT,NA,owner survey,NA,NA,No,NA,NA,NA,NA,NA,NA,method proposed is relatively simple mathematical approach rooted in information theory as opposed to highly sophisticated and mathematically complex algorithms
409,Zaitouny 2017,Modelling and tracking the flight dynamics of flocking pigeons based on real GPS data (small flock),Consensus,Model,Columba livia,"Oxford, UK",mean position within group; IID; ,NA,NA,XYT,NA,NA,NA,NA,No,MATLAB,NA,NA,NA,NA,Our model proves that the dynamics of a pigeon inside a flock are composed of two essential mechanisms: global mechanism where animals align with neighbours inside flock and local mechanism caused by intra-interactions within flock,NA
402,Long 2022,Analyzing Contacts and Behavior from High Frequency Tracking Data Using the wildlifeDI R Package,Consensus,Empirical,Odocoileus virginianus; Humans,"Love County, Oklahoma, USA ",contact rate,this paper,NA,XYT,NA,NA,NA,NA,Yes,R,https://cran.r-project.org/web/packages/wildlifeDI/vignettes/wildlifeDI-vignette-contact_analysis.html,Supplemental; Package vignette,wildlifeDI,NA,NA,NA
401,Miller 2021,Exploring the utility of movement parameters to make inferences about dynamic interactions in moving objects,Consensus,Empirical; Simulation,Canis mesomelus,"Etosha National Park, Namibi",absolute angle; relative angle; speed; step length; persistence index; persistence velocity; turning velocity; path-based dynamic interaction metrics,"PI: Laidre et al., 2013; Vp: Gurarie et al., 2009, 2016; Vt Guarire et al 2009; DI metrics: Long et al 2014;",Persistence index (PI) is the cosine of the relative angle and measures how direct movement is,XYT,NA,NA,NA,NA,No,R,NA,NA,adehabitatLT; wildlifeDI,NA,step bias; path based vs point based metrics,NA
396,Holmes 2019,"Range overlap and spatiotemporal relationships of frugivorous lemurs at Kianjavato, Madagascar",Consensus,Empirical,Eulemur rufifrons; Varecia variegata; Eulemur rubriventer,"Kianjavato, Madagascar",interindividual distances; ,NA,NA,XYT,NA,NA,NA,NA,No,R,NA,NA,adehabitatHR; geosphere,NA,NA,Doncaster's index of dynamic interaction  (1990)
393,Pérez-Barbería 2018,Dynamics of social behaviour at parturition in a gregarious ungulate,Consensus,Empirical,Ovis aries,"Aberdeenshire, Scotland",interindividual distances; position along front-back axis; group direction; group distance,NA,NA,XYT,leadership is ranked position along front-back axis,NA,NA,NA,No,R,NA,NA,adehabitat,NA,NA,NA
389,Burns 2012,Consistency of Leadership in Shoals of Mosquitofish (<i>Gambusia holbrooki</i>) in Novel and in Familiar Environments,Consensus,Empirical,Gambusia holbrooki,"Lake Northam, Sydney, Australia",spatial position within group,NA,ordinal 1-6 position along group's traveling direction,XYT,NA,focal observation,NA,NA,No,NA,NA,NA,NA,NA,NA,NA
384,Pinacho-Guendulain 2017,Influence of Fruit Availability on the Fission-Fusion Dynamics of Spider Monkeys (<i>Ateles geoffroyi</i>),Consensus,Empirical,Ateles geoffroy,"Yucatan peninsula, Mexico",interindividual distance; within group spatial disperson,NA,within group spatial disperson is longest interindividual distance within a group,XYT,group using 30 m chain rule,NA,NA,NA,No,R,NA,NA,NA,NA,NA,NA
382,Go 2020,A mathematical model of herding in horse-harem group,Consensus,Empirical,horses,"Serra D’Arga, Portugal",inertia force; repulsion force; group center of mass; attraction force,Lukeman et al 2010,NA,XYT,NA,NA,NA,NA,No,MATLAB,NA,NA,NA,NA,NA,NA
362,Lührs 2013,Simultaneous GPS tracking reveals male associations in a solitary carnivore,Consensus,Empirical,Cryptoprocta ferox,"Kirindy, Madagascar",Doncaster; interindividual distances,Doncaster 1990,NA,XYT,NA,NA,NA,NA,No,R,NA,NA,NA,NA,NA,home range overlap with adehabitatHR
361,Laube 2005,Discovering relative motion patterns in groups of moving point objects,Consensus,Empirical,NA,NA,proximity; concurrence; constance; trend-setter; track; flock; leadership; convergence; encounter; divergence; breakup,Laube and Imfeld 2002,NA,XYT,leadership extends flock with constance  over previous time steps,"",NA,NA,No,NA,NA,NA,NA,NA,discuss implementations of REMO,NA
358,Body 2015,Fission-fusion group dynamics in reindeer reveal an increase of cohesiveness at the beginning of the peak rut,Consensus,Empirical,Rangifer tarandus,"Kaamanen, Finland",nearest neighbour distances,NA,NA,XYT,fusion gte 2 groups merging into one; fission one group splitting into gte 2,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,chain rule nearest neighbour distance to identify aggregation
