study_id,metric_used_or_described,metric_agg,definitions_of_leader_initiator_etc,category
Hansen 2015,interindividual distance; mean nearest neighbour distance,interindividual distance; nearest neighbour distance,distance threshold three body lengths,group
Inoue 2019,interindividual distance; nearest neighbour distance; distance from group center; orientation alignment,directional alignment; distance to group centroid; interindividual distance; nearest neighbour distance,distance threshold two body lengths,group
Leighty 2008,interindividual distance;,interindividual distance,distance threshold  8 m; approach/avoidance after event defined as changes in interindividual distance after an event,group
Lemasson 2014,orientation with respect to flow; speed; acceleration; turning angle; mean group size; variability of group size; nearest neighbour distance; direction to nearest neighbour,acceleration; direction; group size; group size; nearest neighbour direction; nearest neighbour distance; speed; turning angle,distance threshold 5 body lengths,group
Mielke 2020,entropy,entropy,group defined as all individuals within visual contact of focal individual,group
Pinacho-Guendulain 2017,interindividual distance; within group spatial disperson,interindividual distance; interindividual distance,distance threshold 30 m chain rule,group
Quaglietta 2014,Doncaster's; correlation coefficient (Cr);  DI; proportion of fixes where dyad is interacting,Cr; DI; Don; interindividual distance,"temporal threshold 1 hour, distance threshold 100 m",group
ACM 2007,front region,zones,leader if and only if x does not follow anyone and is followed by N others; leadership pattern if x is followed by minimum M others for K time unit intervals,leadership
Amornbunchornvej 2018,FLICA,mFLICA,following relation is where two individuals perform the same sequence of actions with some fixed delay; initiator is individual who first performs a sequence of actions and all other individuals follow,leadership
Andersson 2008,front region,zones,leader if and only if individual doesnt follow anyone and is followed by N others,leadership
Andrienko 2013,space transformation; position within group; trend setting,direction to group centroid; distance to group centroid; position within group; trend setting,leader is an object that moves in front of others; trend setter is an object whose movements are copied by others,leadership
Bracken 2022,group stretch and sphericity; mean nearest neighbour distance; mean distance to group centroid; convex hull area and perimeter; speed of group centroid; mean linear speed across individuals; pulls,convex hull; distance to group centroid; group speed; group sphericity; group stretch; movement initiations pull and anchor; nearest neighbour distance; speed,leader initiates movement away from another individual (follower) who joins or who doesn't and leader returns,leadership
Flack 2018,time advances or delays; spatial position within group,position within group; temporal correlation delay,leaders are birds who are ahead of the flock on average and followers those who are behind,leadership
Jolles 2017,position; direction; speed; zones; nearest neighbour distance; interindividual distance; direction to group center; distance to group center; mean interindividual distance; speed of group center; group cohesion; polarization,direction; direction to group centroid; distance to group centroid; group speed; interindividual distance; interindividual distance; interindividual distance; nearest neighbour distance; polarization; position; speed; zones,leader in terms of propagation of movement changes in the group,leadership
Jolles 2018,group centroid; speed; distance to group centroid; proportion of time spent in front of group centroid; polarization; variance in proportion of time fish spent in front of group centroid,distance to group centroid; group centroid; polarization; speed; time spent leading group; time spent leading group,measure of leadership as proportion of time spent in front of group centroid,leadership
Kano 2021,directional correlation delay; distance from group center; mean interindividual distance; position along front-back axis;,directional correlation delay; distance to group centroid; interindividual distance; position within group,leader based on directional correlation delay,leadership
King 2015,interindividual distances; velocity cross-correlation;,directional correlation delay; interindividual distance,leader-follower dynamics from velocity-cross correlation,leadership
Laube 2005,proximity; concurrence; constance; trend-setter; track; flock; leadership; convergence; encounter; divergence; breakup,breakup; concurrence; constance; convergence; divergence; encounter; flock; leadership; proximity; track; trend setting,leadership extends flock with constance  over previous time steps,leadership
Milner 2021,Prox; dynamic interaction displacement and directio,DI in direction; DI in displacement; Prox,leader is animal that is dominant to at least one and subordinate to none,leadership
Pérez-Barbería 2018,interindividual distances; position along front-back axis; group direction; group distance,group direction; group distance; interindividual distance; position within group,leadership is ranked position along front-back axis,leadership
Pettit 2013,directional correlation delay; distance and direction to neighbour; speed;,directional correlation delay; interindividual direction; interindividual distance; speed,leadership based on directional correlation delay; leadership also based on tendency to use route taken on solo flight,leadership
Quera 2023,directional correlation delay; momentary leadership rank; duration of leadership episodes; forefront index; acceleration; relative angle between fish; turning angle,acceleration; directional correlation delay; interindividual direction; position within group; rank position within group; time spent leading group; turning angle,"following Krause et al. (2000) and Collignon et al. (2019), the authors define a motion leader as an individual who initiates movement towards a certain direction and is followed by other group members",leadership
Rahman 2020,relative angle; IID; zones; velocity of group;,group velocity; interindividual distance; relative angle; zones,leadership as tendency to be at the front of the group,leadership
Strandburg-Peshkin 2018,spatial position within group; successful and failed pulls; directional correlation delay; transfer entropy and optimal causation entropy,directional correlation delay; movement initiations pull and anchor; optimal causal entropy; position within group; transfer entropy,an individual leads if they have repeated influence either directly or hierarchically on the behaviour of others,leadership
